"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000228532",1115.31382169152,-7.19067944753279,0.196119504591293,-36.6647848846954,2.66030668952671e-294,6.98083035611038e-292
"ENSG00000197728",4412.4910545921,5.18107835435445,0.141775332920685,36.5442862846455,2.19757291614425e-292,5.70030206880774e-290
"ENSG00000235043",1440.64401755931,-6.41943522660305,0.177784770883194,-36.1079028013072,1.70465118425417e-285,4.37146173580272e-283
"ENSG00000180581",1311.15848543222,-4.98072410507658,0.138115407032729,-36.0620455898618,8.92972558640057e-285,2.26423727312699e-282
"ENSG00000198242",20312.1591165873,2.96230980669108,0.0823708959653846,35.9630640406772,3.16305474793828e-283,7.93118405519148e-281
"ENSG00000241741",1481.69171849881,-8.74806331149309,0.244166582846581,-35.8282579438393,4.01112485647057e-281,9.94714886109574e-279
"ENSG00000164687",2413.42679458553,4.48918105419847,0.12562729521387,35.7341216855463,1.16746607188205e-279,2.86371813523502e-277
"ENSG00000204253",5528.11781710673,-9.06071499339961,0.253897539129342,-35.6865018245957,6.40249111508952e-279,1.55360233327124e-276
"ENSG00000168028",28956.9222321759,2.71796765292373,0.0764658179084411,35.5448712544759,9.97176250880543e-277,2.39396558017247e-274
"ENSG00000196656",1938.95707473102,-5.54262810471016,0.156690298755824,-35.3731414690034,4.42028871287935e-274,1.05002795140577e-271
"ENSG00000230207",1726.51980997583,-6.4226031687475,0.183103378250156,-35.0763772363223,1.5451787960059e-269,3.63229686348595e-267
"ENSG00000220848",986.173638592202,-7.29771774263309,0.209512051368792,-34.8319712157623,7.98349102718987e-266,1.85735507227416e-263
"ENSG00000163682",12737.0111817911,5.40421822409058,0.1552586980101,34.8078290836822,1.85170998288294e-265,4.2640346105836e-263
"ENSG00000187653",6399.68574600469,-5.91143210579393,0.170857966436271,-34.5985161189359,2.65966388789519e-262,6.06269039981118e-260
"ENSG00000234287",2800.26561733274,-10.4370863370834,0.304412117779568,-34.2860409539976,1.26704601469157e-257,2.85934274135448e-255
"ENSG00000223612",1128.45759232529,-6.1928113289439,0.181104086948123,-34.194762985762,2.89260858444547e-256,6.46311860645355e-254
"ENSG00000233830",1895.01888160025,-8.22907472003007,0.241548365511599,-34.068020715441,2.19588607897226e-254,4.85829030825167e-252
"ENSG00000166164",2419.85999287674,1.9105947921477,0.0561201994031841,34.0446900129741,4.86383988243949e-254,1.06565315171856e-251
"ENSG00000269378",508.716451753727,-5.75630377643446,0.171886838548275,-33.4889152948019,6.98883263464905e-246,1.51650948140505e-243
"ENSG00000197958",16025.6134058256,4.44456930699214,0.132739897893043,33.4832961117193,8.43715869436254e-246,1.81334628814933e-243
"ENSG00000235636",534.751093605546,-6.21208622445857,0.186351480353942,-33.3353199698753,1.18897563577601e-243,2.531284261562e-241
"ENSG00000250568",2689.38439944351,-9.6264216876813,0.289174728901119,-33.2892909565862,5.51683286968351e-243,1.16353614364624e-240
"ENSG00000226221",4404.87933102124,-11.1755788041139,0.340119169908813,-32.8578327622937,8.80372133180314e-237,1.83957017865557e-234
"ENSG00000177855",2224.4996766803,-9.73613290891481,0.297207298218806,-32.7587275523328,2.28071951814327e-235,4.72192636384762e-233
"ENSG00000226054",644.205711872841,-6.47220927293143,0.199504816462323,-32.4413685228181,7.16914910676775e-231,1.4707835262948e-228
"ENSG00000181524",4352.94731179007,-10.3973097266721,0.320878156583704,-32.4026722085703,2.51684423407316e-230,5.11690304777739e-228
"ENSG00000234851",17693.2986102996,-5.50544379331875,0.169952038198869,-32.3941027813775,3.3231244891717e-230,6.69579913813729e-228
"ENSG00000213178",7396.22164502407,-5.98151060752815,0.18472284961389,-32.3810000767679,5.0818418417808e-230,1.01488429065015e-227
"ENSG00000184100",1075.20367320939,-7.76677857312762,0.239952568938026,-32.3679742521681,7.75067346886586e-230,1.53429340501663e-227
"ENSG00000233966",1199.38130988987,-7.23481229695356,0.223821354606567,-32.324048389712,3.21355083874104e-229,6.30610450242339e-227
"ENSG00000127589",2725.54395688064,-9.45721644180971,0.293805743723292,-32.1886710653165,2.54256875496332e-227,4.94639216321182e-225
"ENSG00000231500",42236.820972894,3.92482074492898,0.122063548577629,32.1539131924623,7.78702506067393e-227,1.50196405593358e-224
"ENSG00000229117",24173.1738165537,3.71557141740266,0.118532891101677,31.34633250627,1.09156279917317e-215,2.08756760075771e-213
"ENSG00000260290",1242.24987974325,-8.55530014010629,0.27325629768265,-31.3087025355299,3.55253964935175e-215,6.73698842579168e-213
"ENSG00000185839",1974.06690355876,-9.8932933935879,0.318010012152555,-31.1100060234642,1.76376527795809e-212,3.31690758564002e-210
"ENSG00000228232",9647.62575274862,-12.6384504164294,0.40781565624095,-30.9905964202665,7.2167714995822e-211,1.34595770604191e-208
"ENSG00000241627",832.052325982718,-6.61749600350615,0.213638246218993,-30.9752402513302,1.16194593916785e-210,2.14931426304925e-208
"ENSG00000230409",3429.23952064251,-7.02518717952284,0.228012015685317,-30.8106007414031,1.88974046748796e-208,3.46713602681307e-206
"ENSG00000174977",1632.95574042569,-7.96568610604021,0.258783783944329,-30.7812413306153,4.67178371760988e-208,8.50226960929857e-206
"ENSG00000224578",6384.55603259749,-5.59693777333794,0.182043424703339,-30.7450696582906,1.4231660155001e-207,2.56932699774326e-205
"ENSG00000233270",1612.08303191037,-8.50504558943078,0.277227952119481,-30.678889067309,1.08870200332908e-206,1.94989984993073e-204
"ENSG00000232112",2829.44569445708,2.61206385004479,0.0857078898457278,30.4763523491997,5.3629625970625e-204,9.52960448251256e-202
"ENSG00000215492",6132.82664210204,-5.22378866614617,0.171460006371283,-30.4665138926594,7.24006800422862e-204,1.27645792696427e-201
"ENSG00000213442",19381.4298657524,-6.79428294650651,0.223392967749699,-30.4140412965871,3.58244663584803e-203,6.26705994040174e-201
"ENSG00000114942",7566.8569116218,1.86939421888675,0.061914988007602,30.1929190175603,2.93394065559634e-200,5.09309529037251e-198
"ENSG00000196262",81706.3703372866,1.56445290821846,0.0520903233711684,30.0334650846949,3.58990851993426e-198,6.18423401292797e-196
"ENSG00000228305",1451.96849258411,-9.19502046669497,0.307379291016277,-29.9142484072163,1.28442185919882e-196,2.19587485579846e-194
"ENSG00000229132",3704.55288861923,-11.0369245430574,0.374542179347807,-29.4677746636603,7.45320394911524e-191,1.2646349888698e-188
"ENSG00000234009",1434.67379731816,-9.03996340685439,0.307370060022237,-29.4106830255373,4.00974465707127e-190,6.75282893105428e-188
"ENSG00000253341",1912.84858437976,-8.6724985015005,0.297483185258217,-29.1529031934115,7.67532818619337e-187,1.28303060131723e-184
"ENSG00000146677",8324.30628564969,-12.7830637934309,0.439044479290652,-29.1156463556585,2.27539283086884e-186,3.77564632457479e-184
"ENSG00000213430",2744.61408687571,-10.0264818292721,0.344410117900574,-29.1120420340454,2.52745250090834e-186,4.16328617430646e-184
"ENSG00000229932",2189.96983368549,-8.74633407570554,0.301503758297795,-29.0090383121089,5.06070953166644e-185,8.27572695660265e-183
"ENSG00000218175",10008.8050588765,-13.434100473542,0.465008591098325,-28.890004896063,1.59424292683746e-183,2.58829353452812e-181
"ENSG00000224831",1514.42926800227,-5.58902447676439,0.194121357255378,-28.7913939804764,2.7489874491944e-182,4.431171411855e-180
"ENSG00000230629",7357.78716382328,-7.20706622829279,0.250482994816803,-28.7726766983278,4.71431144535416e-182,7.54523875087285e-180
"ENSG00000254612",1312.61986467476,-7.44709587862336,0.259439203028374,-28.7045897138718,3.34380081281703e-181,5.3140530241438e-179
"ENSG00000212802",11561.8904547434,-6.43574870470318,0.228568411114893,-28.1567722911114,1.97992032513573e-174,3.12453580261105e-172
"ENSG00000180764",2237.47487333734,-9.06127921694909,0.323477468505981,-28.0120877005736,1.15767012772807e-172,1.8142459564194e-170
"ENSG00000226608",2587.14275834699,-10.6367336754758,0.381617438682025,-27.8727662766446,5.70747337472875e-171,8.88279666534508e-169
"ENSG00000213300",2755.08957130495,-6.68611091545808,0.24011314762787,-27.8456676842215,1.21544117120128e-170,1.87868910345885e-168
"ENSG00000240036",568.746345426462,-7.65728498700018,0.277815270263506,-27.5625057605267,3.13393341003134e-167,4.81112076627055e-165
"ENSG00000218283",4246.20116988578,-11.6993580447729,0.428744478674177,-27.287483866734,5.97156697500012e-164,9.10542918410998e-162
"ENSG00000228929",6321.78504408035,-12.6612137969471,0.46503626846097,-27.2262932068701,3.17253270442801e-163,4.80500305643133e-161
"ENSG00000234825",2189.89134716132,-8.58489269263047,0.316529481778418,-27.1219370922302,5.42794257081109e-162,8.16615866636626e-160
"ENSG00000257576",1044.38935261204,-9.20592690393941,0.33956182922713,-27.1111948150734,7.2663122741743e-162,1.08595277543902e-159
"ENSG00000229419",458.969845516055,-5.41162221265012,0.200457070132181,-26.9964147888708,1.6283159106913e-160,2.4175134971428e-158
"ENSG00000260747",1240.17465165759,-8.7136468603716,0.32439854002486,-26.8609311857687,6.28629758675173e-159,9.27208350589715e-157
"ENSG00000214223",471.487642868328,-5.21909774533198,0.19512005534094,-26.7481358398165,1.29800071078669e-157,1.90207675586514e-155
"ENSG00000230383",283.830653648818,-5.49850134558314,0.206327354656672,-26.6494055271179,1.81830670590949e-156,2.64733725369415e-154
"ENSG00000143947",16337.284515704,2.64700066296853,0.099528273023681,26.5954646107315,7.65963780673844e-156,1.10804516913248e-153
"ENSG00000214975",393.283689241815,-6.09378086006177,0.232992937675321,-26.1543586722509,8.79203747082284e-151,1.26375738601311e-148
"ENSG00000131876",1864.95349529075,2.15657484576025,0.0826955948464378,26.0784731008334,6.39820663731963e-150,9.13850184711342e-148
"ENSG00000163041",5502.76925852125,2.23240197248828,0.0861121523460903,25.9243545965047,3.53975136305162e-148,5.02399805094251e-146
"ENSG00000236814",1818.0302244052,-9.49907999778124,0.366508521386474,-25.9177602797527,4.20066060514197e-148,5.92476924226492e-146
"ENSG00000234241",1896.91767993906,-10.2357896070128,0.396731696842086,-25.8002818743444,8.80273811436292e-147,1.23385957159521e-144
"ENSG00000226525",1569.73577532912,-10.1714917238944,0.396956542939654,-25.6236908165555,8.30823300695265e-145,1.15735737202408e-142
"ENSG00000214455",584.148994368275,-5.50398945455661,0.21520250141074,-25.5758618904322,2.83186171787562e-144,3.9206517415521e-142
"ENSG00000077380",1024.21307285228,1.9923377390472,0.0779676791964028,25.5533800618645,5.03568977788669e-144,6.92929336692493e-142
"ENSG00000228519",1034.47417111626,-9.38358156084887,0.36768841950689,-25.5204707655283,1.16842003503117e-143,1.59804454124536e-141
"ENSG00000217094",805.882236417524,-8.65739252992865,0.341101796772007,-25.3806711423314,4.12276371615131e-142,5.6047234206257e-140
"ENSG00000225067",530.217745795914,-5.6410438056463,0.222539363329754,-25.3485213637801,9.33017239474933e-142,1.26080239779825e-139
"ENSG00000269242",1046.7104193322,-8.25513143745103,0.325756595507571,-25.341409970805,1.11760290372479e-141,1.50124671002127e-139
"ENSG00000230457",2973.89950953994,-11.2790084787215,0.445693382292066,-25.3066545900165,2.69851249133271e-141,3.60339239005356e-139
"ENSG00000105640",13427.4085027813,4.77124125432223,0.18886555248605,25.2626336116781,8.22757300156131e-141,1.09218611721314e-138
"ENSG00000227344",487.448953500883,-7.01599576132936,0.277919617800426,-25.2446941920003,1.29518069126462e-140,1.70925980466484e-138
"ENSG00000258427",1394.50734501491,-9.76294913634066,0.388347406770776,-25.1397304736047,1.83031282696233e-139,2.40143427709645e-137
"ENSG00000226360",3433.86282006045,-12.0124966377947,0.479616846474529,-25.0460273155411,1.9288158961286e-138,2.51604556808868e-136
"ENSG00000148303",33418.4165288142,2.89491843786949,0.115940871139213,24.9689208768623,1.33060272930562e-137,1.72573056277241e-135
"ENSG00000241889",454.900211380138,-7.46377290566511,0.299183252647933,-24.947161445725,2.29234167582502e-137,2.95607283419104e-135
"ENSG00000181163",27117.2129219853,1.57872815757099,0.0633963018658154,24.9025276097733,6.98559590297673e-137,8.95704220127704e-135
"ENSG00000180211",2048.43420277093,-10.1063925136907,0.40646910242492,-24.8638640757633,1.83104404215971e-136,2.33452942934566e-134
"ENSG00000237350",1929.85390984913,-10.3444145932698,0.416472135679774,-24.8381913387445,3.46915124025045e-136,4.39822112577146e-134
"ENSG00000234769",258.114879280114,5.22979582704962,0.211433577440211,24.7349351525232,4.50344756370864e-135,5.67761459051469e-133
"ENSG00000231043",1525.27924498494,-9.41107372077184,0.380717858567861,-24.7192862351488,6.63545042896041e-135,8.31901165724164e-133
"ENSG00000174028",507.719219643042,-6.87899141484394,0.278530088634343,-24.697480435856,1.13826726804573e-134,1.41918659878387e-132
"ENSG00000224411",2289.68279774407,-11.2792014349156,0.460237084632391,-24.5073719861683,1.23265209422216e-132,1.52842086869843e-130
"ENSG00000225259",659.48769352744,-8.28745783138194,0.338820693801941,-24.4597156637263,3.96657778751087e-132,4.89146234594305e-130
"ENSG00000234975",396.398260271427,-6.76157518970321,0.277225683187004,-24.3901470887247,2.17573181612533e-131,2.6684641247011e-129
"ENSG00000144713",27337.872686475,1.71668276329991,0.0705733166139401,24.3248134800118,1.0712384232409e-130,1.306737162015e-128
"ENSG00000183298",182.584652727795,-4.7386762874473,0.196194610857025,-24.1529380789189,6.95432507990245e-129,8.43754054183649e-127
"ENSG00000230043",1140.68776698111,-7.88306983657278,0.327342127843412,-24.0820510592628,3.85482348007787e-128,4.65196799331108e-126
"ENSG00000224546",599.759962483926,-8.74765967521134,0.363935036891005,-24.0363218390297,1.16048978575016e-127,1.39301984016084e-125
"ENSG00000236698",1197.4068289591,-9.60717962346818,0.400575472882937,-23.983444503792,4.13966773609151e-127,4.94285088890885e-125
"ENSG00000165637",2381.70557798363,1.84796553985979,0.0775180982664006,23.8391495816762,1.31224284559638e-125,1.55859917350387e-123
"ENSG00000140905",567.699093166708,5.81686328793703,0.244292502909469,23.8110593598227,2.56553013939135e-125,3.03122087202327e-123
"ENSG00000213189",436.014977560761,-5.86103597062163,0.24751314215341,-23.679696034035,5.83786156411657e-124,6.86161572486556e-122
"ENSG00000244363",437.202972646652,-5.13741658678699,0.217264537962414,-23.6459048262894,1.30056273861873e-123,1.52071499079839e-121
"ENSG00000217241",1930.07106497217,-10.6784441081391,0.452856287738482,-23.5802050170621,6.15301811170312e-123,7.15748246014455e-121
"ENSG00000213326",560.801269340823,-6.34437624690789,0.269147873015421,-23.5720839099642,7.45399656267158e-123,8.62637643229792e-121
"ENSG00000182004",2919.36250614358,1.81590861743077,0.0772818499863924,23.4972198226428,4.35461025780662e-122,5.01380049428173e-120
"ENSG00000228205",4799.81572102335,-13.1941740361547,0.563869339131276,-23.3993464806622,4.3395507283895e-121,4.97109854251603e-119
