Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
Smad7	1167.754557815443	1.5516595962293367	0.11504169010854762	5.125407466047294e-42	3.6692522291144895e-39
H2-Ab1	2478.4832354708647	-1.4359149403888305	0.10715652508420548	1.6763745627655198e-41	1.1401023401368301e-38
Dusp2	5251.264374134894	1.0541775429178817	0.08378985949822201	1.763911245040996e-38	1.142510512145125e-35
Cd74	4448.400934362563	-1.2820472206805993	0.10533838289736662	7.335298577623049e-35	4.53521505694676e-32
Klf6	7313.395919939888	-0.8760924891228252	0.07592348740938998	1.3020296966978619e-34	7.70009040629753e-32
H2-Aa	1776.403356423437	-1.4736324610505984	0.12164160316686591	2.4218461167819596e-34	1.3725812866861757e-31
Map3k12	243.10176083058994	-2.686935358270736	0.23329715554725505	1.2216571856796632e-32	6.646792415845911e-30
Ccnd2	4340.279048178245	0.8539982529526581	0.08011924180294772	2.1180937615133364e-30	1.1080888978501694e-27
Hmox1	255.63042348730252	2.3007146146690194	0.208177221461949	1.40001219841643e-29	7.052950341800105e-27
Dusp5	1505.818858756533	1.109914294059794	0.10200008938557234	2.384692292247078e-29	1.1584494485408841e-26
Peg13	1489.183934205472	1.0403748967562543	0.0970347209096073	3.15076082648704e-29	1.477815474547473e-26
Car1	188.72577768006798	2.5650986001585405	0.23594275255876385	3.3562807681888576e-29	1.521737700296828e-26
Rgs2	2449.8697048279864	1.0175048635975281	0.0956275798690996	4.4921752359913246e-29	1.9710505664501289e-26
Mycn	2872.4092404271423	0.8380374238771242	0.08093332334327333	5.031358856414497e-29	2.1386419739046872e-26
Thbs1	413.52541021328557	2.483199877782473	0.23025969446042496	1.281245718351205e-28	5.281061897276695e-26
Ltb	2170.8431570927764	1.1036245990937672	0.10307124358821881	1.3688464246630127e-28	5.476190902431265e-26
Tmem215	150.26867551831748	-3.7710857941817633	0.36763879536067373	2.6403218395752433e-28	1.0261045046257846e-25
Btg2	4710.673792951456	0.7200102660191453	0.07048700517450339	5.147051814168594e-28	1.9447277437867003e-25
Vcam1	208.35456363294085	2.3238834471162413	0.217177300691193	6.035491558439112e-28	2.2187771939969947e-25
