baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000227615	8372.93924073415	-11.2688448768896	0.289762808954925	-38.8898938325883	0	0
ENSG00000228589	3314.20868369545	-5.46755812238352	0.0936891148157736	-58.3585204442875	0	0
ENSG00000229638	16986.1409945817	-10.4782543260334	0.157120743062474	-66.6891851565845	0	0
ENSG00000229944	2248.84798456844	-6.54118632753469	0.172321469512105	-37.9592069755138	0	0
ENSG00000230202	5249.97596088147	-6.57672535861666	0.166807111462301	-39.4271281419737	0	0
ENSG00000231991	4928.60665955749	-9.06529691004373	0.24069394856786	-37.6631691988213	0	0
ENSG00000232024	856.491387264025	-6.05077400494142	0.145592974945034	-41.5595189755947	0	0
ENSG00000232472	6011.89088687704	-9.96136367088187	0.2062386678405	-48.3001746238282	0	0
ENSG00000232573	14376.0765911204	-6.462770397336	0.140278358939792	-46.0710436462252	0	0
ENSG00000233762	2944.16624765081	-7.42919033190409	0.147095082317202	-50.50604149963	0	0
ENSG00000233913	5392.10318179088	-10.0408676731705	0.225625368438188	-44.5023879303772	0	0
ENSG00000234797	14722.5856465608	-6.52827258493658	0.139111125432321	-46.9284722170741	0	0
ENSG00000234964	1979.88961015725	-6.50538340472634	0.173341252812898	-37.5293434145659	0	0
ENSG00000235552	10582.383414345	-6.27984630671333	0.0802575444789407	-78.2461804367954	0	0
ENSG00000236439	1290.7678832506	-7.00705347958906	0.173430621358858	-40.402631465468	0	0
ENSG00000236552	24039.6934080858	-7.39619235115178	0.139663855910972	-52.957096901767	0	0
ENSG00000236603	2510.21364334232	-8.26019416870462	0.199645995005064	-41.3742042182971	0	0
ENSG00000240489	6367.47754317962	-9.76161069501687	0.23789712120012	-41.0329080308852	0	0
ENSG00000241506	5074.67292644529	-5.32246312642269	0.135796545317604	-39.1943927142948	0	0
ENSG00000242299	24458.3044528172	-10.4649866860512	0.149217374595395	-70.1324943856385	0	0
ENSG00000243199	4919.67970345989	-5.6231029061617	0.0745115034728882	-75.4662386890062	0	0
ENSG00000244171	1300.69050466326	-7.40865254179945	0.185425544244466	-39.9548647517079	0	0
ENSG00000244313	13590.4032223303	-8.31538860628268	0.139584822387321	-59.5722977904366	0	0
ENSG00000244398	10604.6977496868	-5.92667119095022	0.069464408615174	-85.3195371428755	0	0
ENSG00000244716	7721.04576746587	-8.97366605202707	0.198639952056107	-45.1755347257252	0	0
ENSG00000249353	8464.16501341366	-9.41691991617262	0.16192993860079	-58.1542857209895	0	0
ENSG00000249565	2150.46317506822	-8.82092598714088	0.229783208192356	-38.3880356468725	0	0
ENSG00000249936	1915.5584854989	-7.86587476198677	0.183489691055407	-42.8682108337715	0	0
ENSG00000250896	1835.24409769552	-8.32387982958625	0.214913030935817	-38.7313872655406	0	0
ENSG00000254598	2557.17361767506	-8.20546331348861	0.168699351984131	-48.6395662874891	0	0
