baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol
ENSG00000142541	37597.7584316178	-0.96967063863828	0.146362366346671	2319.67320989764	0	0	RPL13A
ENSG00000143947	16337.284515704	0.0595764229860945	0.113410824665152	2831.82442371987	0	0	RPS27A
ENSG00000144158	1099.24596957708	-1.36111565334961	1.21268464288905	5211.65816443938	0	0	RP11-395L14.17
ENSG00000144426	1844.43950246021	0.150270586866813	0.146042543182419	3425.57916762903	0	0	NBEAL1
ENSG00000144713	27337.872686475	-0.046829594242602	0.0961580452562417	1967.61755170779	0	0	RPL32
ENSG00000145425	26688.0322761999	0.0506497436441892	0.125403847664428	3864.57760073912	0	0	RPS3A
ENSG00000146677	8324.30628564969	1.82785280010683	0.875798843240154	8949.7768917562	0	0	AC004453.8
ENSG00000147403	27272.9818411409	-0.0924429815276681	0.104539767173035	4805.02861047499	0	0	RPL10
ENSG00000147604	23963.3637574198	0.184359196247337	0.155821829106525	6038.43277436421	0	0	RPL7
ENSG00000148303	33418.4165288142	-0.48564211845115	0.13573913437225	2705.28379262808	0	0	RPL7A
ENSG00000151846	7044.90020191143	-0.0635684251638134	0.501455708177182	4813.04181369097	0	0	PABPC3
ENSG00000156508	185438.468595149	-0.906956974752874	0.13739848487743	3290.75236817011	0	0	EEF1A1
ENSG00000161654	1867.08644022523	0.096241303550636	0.0963024530574852	3653.53866431133	0	0	LSM12
ENSG00000163041	5502.76925852125	-0.239773443651611	0.130271165862424	1586.83854933674	0	0	H3F3A
ENSG00000163682	12737.0111817911	0.482638104478995	0.17527220460374	4064.58720135789	0	0	RPL9
ENSG00000164687	2413.42679458553	-0.0874368964965986	0.188660164172457	3102.9420659975	0	0	FABP5
ENSG00000165637	2381.70557798363	0.314301813228853	0.0969403525314498	1945.20310190366	0	0	VDAC2
ENSG00000166164	2419.85999287674	-0.0223113730212608	0.101705279592904	2106.42647813493	0	0	BRD7
ENSG00000168028	28956.9222321759	0.0120561643039084	0.131581598799979	2675.34750558159	0	0	RPSA
ENSG00000169612	531.691588834392	1.30176642568965	0.130556828925022	1786.77668348258	0	0	FAM103A1
ENSG00000171314	8255.8222384617	-0.00523037457910491	0.103148498351627	1837.74514431881	0	0	PGAM1
ENSG00000171471	474.404515200149	0.893044824548795	0.408086079264271	2577.36284323128	0	0	MAP1LC3B2
ENSG00000171863	15901.1688828765	0.12129474366463	0.0963973685138669	6316.97469095096	0	0	RPS7
ENSG00000172239	1584.28517874105	0.531737101739634	0.0992491759287135	1732.16879970933	0	0	PAIP1
ENSG00000172974	2412.3114423117	-0.259901845450199	0.248967048386438	5498.55855756698	0	0	AC007318.5
ENSG00000174028	507.719219643042	0.854546507499302	0.518379696008092	2107.58490887906	0	0	FAM3C2
ENSG00000174977	1632.95574042569	1.24256051517924	0.409234551714353	5526.8689129921	0	0	AC026271.5
ENSG00000175730	591.81630848954	1.73489743722983	0.222831878153214	1973.24695849828	0	0	BAK1P1
ENSG00000177144	425.489168810693	-1.01843594813168	0.958052876968321	3002.93722715842	0	0	NUDT4P1
ENSG00000177855	2224.4996766803	0.489566707342872	0.591303514008296	7389.51997263322	0	0	CACYBPP2
ENSG00000178082	396.522594312123	2.68142337650501	1.39033319711212	2409.25945366387	0	0	TWF1P1
ENSG00000178146	337.704084326595	-0.424622584739967	0.666313405422508	2040.3022830276	0	0	RP1-232L22__B.1
ENSG00000178464	7753.65888507658	-0.122960326316307	0.261609582712036	1820.84844854769	0	0	CTD-2192J16.15
ENSG00000178660	246.196463358711	-0.80210214687614	1.45263028777613	1695.97210884133	0	0	ARMC10P1
ENSG00000178715	459.313860300733	0.185183316546113	1.68063898905495	1783.81705668383	0	0	RP11-169K16.8
ENSG00000179611	2349.05234232637	-0.303900651565774	0.293521448879177	5972.66847026144	0	0	DGKZP1
ENSG00000179967	1859.68020828462	0.804493277235341	0.379823781931155	6265.19078644167	0	0	PPP1R14BP3
ENSG00000180211	2048.43420277093	-3.79455036838434	1.2518147200066	1544.74974626932	0	0	RP1-278E11.3
ENSG00000180574	2060.16433523583	4.35654381945256	0.623009399779301	5103.32434730084	0	0	EIF2S3L
ENSG00000180581	1311.15848543222	0.481312771038995	0.196706795132787	3699.16886456566	0	0	SRP9P1
ENSG00000180673	307.635179031785	-0.308697445655613	1.67584998161246	1800.79155701249	0	0	EXOC5P1
ENSG00000180764	2237.47487333734	1.81271296407209	0.590026140579295	2963.07964167369	0	0	PIPSL
ENSG00000180867	4540.13069146769	0.357155670409782	0.172797331175065	4022.48639048056	0	0	PDIA3P1
ENSG00000181163	27117.2129219853	0.133011382320894	0.0934158589932864	1580.75547889029	0	0	NPM1
ENSG00000181524	4352.94731179007	-0.962090475000778	0.611262618480445	6213.40171820538	0	0	RPL24P4
ENSG00000182890	2046.91807976623	0.19530035089097	0.454510793034102	3871.68201683245	0	0	GLUD2
ENSG00000183171	372.572478211335	-0.687088831775517	1.67227504868791	2479.25607977537	0	0	RP11-49C9.2
ENSG00000183199	8298.8285248808	0.729812470269754	0.446575297127949	7359.43354974402	0	0	HSP90AB3P
ENSG00000183405	15327.1378660046	0.228444912344046	0.176169893099868	9095.92534132947	0	0	RPS7P1
ENSG00000184100	1075.20367320939	0.66795607519168	0.446395873657217	4701.49805270381	0	0	BRD7P2
ENSG00000185641	4538.89862793569	-0.967629590649275	0.562094157990009	6764.07436795299	0	0	CTD-2287O16.1
ENSG00000185834	4009.87823465304	-0.360919491902759	0.358118199621523	9443.10393927422	0	0	RPL12P4
ENSG00000185839	1974.06690355876	-0.489985142266802	0.629563251519242	5400.60277072572	0	0	RP4-592A1.2
ENSG00000186063	1295.90148430852	-0.460749102473838	0.105657914230429	2359.67378249307	0	0	AIDA
ENSG00000187534	872.954610731439	2.29295790271137	0.207851474157754	2293.49996842263	0	0	CTC-471F3.4
ENSG00000187653	6399.68574600469	0.561482032437127	0.213983505127811	3112.48161717962	0	0	TMSB4XP8
