gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000419,2285.0155950123153,0.31744884423454645,0.17906000884667647,1.7728628870244725,0.07625142971873007,0.15906507806087833
ENSG00000000457,775.4200185960356,0.33496185113293364,0.08735509708295358,3.834485477302479,1.2582740592875048e-4,5.893621979232279e-4
ENSG00000000460,1300.4369643710318,0.9632618063316156,0.09393527926581971,10.254526455451954,1.1292815741154472e-24,2.5715940749811602e-23
ENSG00000000938,2.4544312258352594,-0.3250464225670728,0.7933990816239588,-0.4096884280503018,0.682034519895425,0.7982715113572977
ENSG00000000971,1626.9287720817542,0.30939348990964816,0.12718224055879485,2.432678403449098,0.014987606068541248,0.04102186854442333
ENSG00000001036,992.8050731406546,-0.5215530811836365,0.2763825978532538,-1.8870691759709008,0.059151021947870946,0.129422252501222
ENSG00000001084,2026.6796573919894,0.30658035755759716,0.10483997949597189,2.924269529920849,0.0034526564728232486,0.01152434530723299
ENSG00000001167,2608.458485960079,-0.17681351107653898,0.05845937493649812,-3.0245535685012683,0.002490003717314237,0.008623682303350274
ENSG00000001460,507.4933635852883,0.20609331165136352,0.11876300980179315,1.7353325079527566,0.08268192697692457,0.16974918541559833
ENSG00000001461,1921.5872645773338,-0.08704618750040623,0.14967738923909807,-0.581558697294998,0.5608639702775061,0.7067155070926403
ENSG00000001497,4220.876477627429,-0.14160644161292285,0.11626982214768353,-1.21791225786049,0.223257317562496,0.36923766107972494
ENSG00000001561,150.84858733661983,-0.41453257914309505,0.12791576806904992,-3.240668335113519,0.0011924984056975265,0.004473256569377674
ENSG00000001617,55.99511588648491,0.4092233222382177,0.21775463523243244,1.8792863894787388,0.06020539911345761,0.13111901580712199
ENSG00000001626,0.1250578392761551,0.504135283892014,3.950877008559825,0.12760085489874096,0.8984648545527562,NA
ENSG00000001629,2173.362590431538,-0.21525174210114387,0.17002603699625854,-1.265992820298932,0.20551565273500877,0.34636831480738933
ENSG00000001630,209.10004865696007,-0.17601836197932708,0.1572248627384834,-1.1195326166199517,0.26291298417299985,0.41741644250964455
ENSG00000001631,1627.5268295715964,-0.006547291325166617,0.08560456438392017,-0.07648296994776192,0.9390348622992739,0.9634803315754324
ENSG00000002016,532.6170951265083,0.5362537696529311,0.11643948034892945,4.6054290868179875,4.116162375240567e-6,2.5269161132223576e-5
ENSG00000002079,0.24314123525229184,-0.21719196842426464,3.950877008559825,-0.05497310292213716,0.9561598921384886,NA
ENSG00000002330,1094.7969261388298,-0.05530642065091865,0.1722814528098067,-0.3210236490864469,0.7481924692656956,0.8440621296920826
ENSG00000002549,1581.4070087514876,-0.7579172820334316,0.3034325935541068,-2.4978110398620808,0.012496278444853058,0.03506198130859119
ENSG00000002586,3.705962035147685,1.777707510058111,0.7621439636294576,2.3325088105301908,0.01967393996554691,0.05168511319498942
ENSG00000002587,7.412150667411046,-0.42819845560368763,0.5490550963406198,-0.7798824898586211,0.435460045992603,0.597969262377697
ENSG00000002726,7.099853477055723,-0.860610986322152,0.6951226195712379,-1.2380707548446486,0.2156898266277653,0.3593821852856453
ENSG00000002745,14.677286219539445,-0.5396407294844405,0.35032942944042633,-1.5403808077054704,0.12346755682807223,0.23361217028080036
ENSG00000002746,19.403996473409745,0.1408677417597993,0.3116584617842532,0.4519939582366146,0.651273334956052,0.7761147673841277
ENSG00000002822,740.7390233123806,0.6351729973162747,0.14652663005997657,4.334863888265802,1.4585033846003328e-5,8.21090274795677e-5
ENSG00000002834,11229.264463249994,-0.16089348980518164,0.22774050528480713,-0.7064772672036179,0.47989138489515454,0.6374916931321494
ENSG00000002919,1874.7029076625945,0.2185552431185107,0.15390074255717115,1.4201051891437215,0.1555770598077418,0.28008835330525006
ENSG00000002933,0.11369706672370178,0.02323671153332193,3.9508770085580194,0.005881405946828702,0.9953073440531204,NA
ENSG00000003056,5334.5882972036625,0.12339168594134553,0.10796693676360376,1.1428654886404217,0.2530944433010547,0.40590596093995024
ENSG00000003096,68.13971163107566,-0.3329092198422887,0.3871977481137398,-0.8597912086629601,0.3899041462411879,0.5541474303405406
ENSG00000003137,0.14282244665390542,-1.6121043982659136,3.9227439418354635,-0.4109634536868611,0.6810993329353083,NA
ENSG00000003147,611.2599351183101,0.8142448247730976,0.10630307991787671,7.659654126692599,1.864344876694011e-14,2.597078446441589e-13
ENSG00000003249,42.14163137526601,-1.394933440821721,0.276148714800063,-5.051384873660122,4.386182708826275e-7,3.1146313779132332e-6
ENSG00000003393,726.2643482219519,0.2529377793512497,0.165260993846788,1.5305352670560974,0.12588429088431835,0.23732922242158833
ENSG00000003400,2086.0755197384833,-0.7028550691286584,0.08338227268720996,-8.429310529412682,3.4770776338518136e-17,5.580882714305397e-16
ENSG00000003402,3951.064138806666,0.16612570841551796,0.16846856446539019,0.9860932153288839,0.32408737268939874,0.48670258464641386
ENSG00000003436,32.58319139788982,-0.05595240350935094,0.3176385792011515,-0.17615115786649413,0.860175191061711,0.9156402611646053
ENSG00000003509,517.9122174903733,0.6339908042899479,0.0700904987358084,9.045317350068299,1.492310603852848e-19,2.702806853703629e-18
ENSG00000003756,3947.290309724592,0.4595100689528153,0.1676825480086258,2.7403571475379627,0.006137245445255432,0.019027231482769517
ENSG00000003987,1.0032188505200033,0.35579211708285946,1.6229215262849692,0.21922940285184547,0.8264713523709774,0.8951324154806991
ENSG00000003989,1982.433756395441,-1.2322892150860658,0.16847454010302215,-7.31439429561595,2.585449352785737e-13,3.3590003191891607e-12
