sample	celltype	condition
JJ_CTRL_1	JJ	DMSO
BM_CTRL_2	BM	DMSO
BM_CTRL_3	BM	DMSO
BM_AMIL_1	BM	AMIL
BM_AMIL_2	BM	AMIL
BM_AMIL_3	BM	AMIL
BM_CTRL_1	BM	DMSO
JJ_CTRL_2	JJ	DMSO
JJ_CTRL_3	JJ	DMSO
JJ_AMIL_1	JJ	AMIL
JJ_AMIL_2	JJ	AMIL
JJ_AMIL_3	JJ	AMIL
BM_TG_1	BM	TG
BM_TG_2	BM	TG
BM_TG_3	BM	TG
JJ_TG_1	JJ	TG
JJ_TG_2	JJ	TG
JJ_TG_3	JJ	TG
