Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
Thbs1	413.52541021328557	2.4831999047653	0.23025969361261192	1.2812457087621784e-28	5.28106185775247e-26
Ltb	2170.8431570927764	1.1036245946390206	0.10307124373582165	1.368846400771511e-28	5.476190806851204e-26
Tmem215	150.26867551831748	-3.7710856631470824	0.36763877614666857	2.640321815419635e-28	1.0261044952382249e-25
Btg2	4710.673792951456	0.7200102672176164	0.07048700495179569	5.147051637695769e-28	1.9447276771093845e-25
Vcam1	208.35456363294085	2.3238834714445247	0.21717730140776453	6.03549142566026e-28	2.2187771451846175e-25
S100a8	635.4150552889799	1.2169932724993027	0.1153577361204473	3.9377159978657e-27	1.4094950790255069e-24
Irs2	1208.6126964654743	1.0450705251186228	0.10312055894458225	1.553973808218734e-26	5.4197824972798005e-24
Insig1	1037.609130872609	0.9835874169679223	0.0997849752843259	6.568465218031757e-26	2.233606597391699e-23
Gsn	614.8203150402525	1.2887340926118522	0.12515701207808683	1.0085483990227045e-25	3.345920810611421e-23
Rps6ka3	998.3652446928252	-1.5108141709856011	0.14748766796627322	3.249769270201497e-25	1.052460990792399e-22
S100a9	635.0726952861902	1.2676965548688472	0.12585045631775163	8.322421712052642e-25	2.6325948866823263e-22
Junb	20251.19142166727	0.6342594629355265	0.0657980856960835	9.082581873479358e-25	2.8077563327969593e-22
3830406C13Rik	401.0428742397896	1.946737615822389	0.19283382276369498	9.330258957193706e-25	2.8202262741277506e-22
Serpina3g	10016.193443163083	-0.6784312780432689	0.07116115962197243	1.0082950183848914e-24	2.9363199125818956e-22
Ier2	16871.835550108248	0.6225805785098809	0.06448916226232085	1.0146084097290773e-24	2.9363199125818956e-22
Sik1	3282.887974987436	1.0003595571964388	0.1044311531786555	1.3977301029710247e-24	3.9608176792941413e-22
Nkx2-3	1516.9073683449676	1.1657352830180057	0.11834153424257887	2.380127547339879e-24	6.60703977528919e-22
Slc40a1	277.2622195139677	2.1036577907155984	0.21107899911943329	2.4408275306475378e-24	6.640027214373563e-22
Ppp1r15a	9382.383015912052	0.6264052508694133	0.06567514669052424	2.8799659877286696e-24	7.681038699036345e-22
Emilin2	614.2664180231944	-1.19254090567898	0.12112262747000516	3.60217490916128e-24	9.422458291233025e-22
Chil3	347.6472534145168	1.6554294940232386	0.1669372847493321	8.529613348550684e-24	2.1888077731526788e-21
Slc4a1	190.913622837234	2.734691515078589	0.2856799230370425	8.68957651450115e-24	2.1888077731526788e-21
Ddx39	1945.730012567427	-0.6501506078813869	0.06987232756971727	1.5992490314528416e-23	3.955088241058464e-21
Apobec3	4007.3484777146396	-0.5748209227130193	0.06096711191098718	2.493700184952189e-23	6.0570196278070845e-21
C4b	285.75992318056603	-2.156711947688701	0.22278404696582108	3.5830169370429454e-23	8.550209890817217e-21
Pim2	1828.0408003760804	-0.7515539892193884	0.08329093284784231	3.815306942840408e-23	8.947552592502626e-21
Ybx1	6593.590348215079	-0.5346990996874362	0.05647606471853211	3.8950650518084624e-23	8.979775395711645e-21
Gem	953.9653135774132	1.1249900505435337	0.11882296296758672	4.77277406929696e-23	1.0819878815096209e-20
Pbk	1784.7523391561097	-0.6521215714712425	0.07210109557258913	1.7248335943423295e-22	3.846096155777765e-20
